player_name,rank_2024,predicted_rank_2026,rank_change,total_seasonal_points,predicted_2026_points
Sivashankar Yashini,7,1,6,125.0,249.84
Gogoi Trisha,14,2,12,70.0,249.27
Baskar Kavyasree,16,3,13,60.0,248.51
Baisya Poymantee,18,4,14,55.0,242.54
Vartikar Pritha,23,5,18,47.0,221.41
Akula Sreeja,8,6,2,120.0,101.79
Mukherjee Sutirtha,2,7,-5,255.0,99.03
Chitale Diya Parag,1,7,-6,360.0,99.03
Ayhika Mukherjee,27,9,18,33.0,90.92
Harsha Vardhini Calange Ravichandran,31,10,21,27.0,86.44
Jaiswal Varuni,34,10,24,22.0,86.44
Bhargava Vanshika,33,12,21,24.0,80.62
Viswanath Kushi,25,13,12,42.0,79.99
Joardar Oishiki,29,13,16,30.0,79.99
De Sataporni,34,15,19,22.0,78.43
Ghorpade Yashaswini,4,16,-12,225.0,74.93
Dutta Moumita,26,16,10,35.0,74.93
Rishya Reeth,12,18,-6,90.0,60.77
D'souza Senhora Cezinha,13,19,-6,72.0,52.61
Mukherjee Sagarika,39,20,19,10.0,50.75
Ghosh Swastika,3,21,-18,240.0,50.55
Kutumbale Anusha,5,21,-16,175.0,50.55
Das Mouma,18,23,-5,55.0,50.48
Sen Prapti,15,24,-9,65.0,50.2
Sarkar Takeme,17,24,-7,57.0,50.2
Deshpande Divya,37,26,11,18.0,49.89
Patkar Madhurika,6,27,-21,140.0,49.65
Krittwika Sinha Roy,9,28,-19,115.0,48.86
Goel Radhapriya,38,29,9,16.0,48.48
Chipia Frenaz,28,30,-2,32.0,48.03
Amrute Shruti Vijay,30,31,-1,29.0,47.57
Nath Kaushani,18,32,-14,55.0,46.51
Das Ankita,40,33,7,7.0,44.99
Venkatesan Kowshika,36,34,2,20.0,43.84
Kundu Munmun,24,35,-11,45.0,43.68
Amrutha Pushpak Shekhar,32,36,-4,25.0,43.66
Saini Suhana,10,37,-27,95.0,40.0
Selena Deepti Selvakumar,10,38,-28,95.0,29.13
Mani Nithyashree,18,38,-20,55.0,29.13
Narang Lakshita,22,40,-18,50.0,26.34
